name,full_name,birth_date,age,height_cm,weight_kgs,positions,nationality,overall_rating,potential,value_euro,wage_euro,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),body_type,release_clause_euro,national_team,national_rating,national_team_position,national_jersey_number,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,freekick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,main_position
S. Milinković-Savić,Sergej Milinković-Savić,2/27/1995,24,190.5,76.2,"CM,CAM",Serbia,85,90,50500000.0,73000.0,Right,2,4,4,Normal,89600000.0,Not Selected,0.0,Not Selected,0.0,64,80,86,85,74,86,78,75,85,87,68,70,66,80,59,83,85,85,88,80,73,78,79,85,56,82,75,77,72,CM
Iniesta,Andrés Iniesta Luján,5/11/1984,34,170.18,68.0,"CM,LM",Spain,85,85,18500000.0,19000.0,Right,4,4,4,Normal,24100000.0,Not Selected,0.0,Not Selected,0.0,77,69,54,90,75,88,80,70,84,91,70,66,79,84,84,67,47,58,58,70,58,65,78,93,71,89,68,57,56,CM
Saúl,Saúl Ñíguez Esclápez,11/21/1994,24,182.88,77.1,"CM,LM,RM",Spain,85,90,50500000.0,77000.0,Left,3,4,3,Lean,107300000.0,Spain,85.0,RCM,6.0,69,78,83,85,76,80,72,60,83,85,74,73,76,82,69,82,79,86,77,81,69,78,82,82,55,83,77,77,76,CM
Marquinhos,Marcos  Aoás Corrêa,5/14/1994,24,182.88,74.8,"CB,CDM",Brazil,85,90,43500000.0,98000.0,Right,3,3,2,Lean,83700000.0,Not Selected,0.0,Not Selected,0.0,72,33,84,81,31,59,55,32,78,79,73,76,69,85,68,53,88,75,75,35,80,85,54,58,37,86,85,87,87,CB
A. Witsel,Axel  Witsel,1/12/1989,30,187.96,81.2,"CDM,CM",Belgium,85,85,30000000.0,84000.0,Right,3,4,4,Lean,51000000.0,Belgium,85.0,LCM,6.0,69,71,81,89,77,78,69,68,84,84,67,73,77,85,63,78,76,86,82,77,81,80,75,80,83,92,83,80,85,CDM
R. Nainggolan,Radja Nainggolan,5/4/1988,30,175.26,77.1,"CM,CAM",Belgium,85,85,35500000.0,105000.0,Right,3,3,3,Stocky,60400000.0,Not Selected,0.0,Not Selected,0.0,73,75,59,84,75,80,73,68,81,85,78,73,76,87,82,84,76,93,77,86,88,86,86,76,63,84,83,86,90,CM
Z. Ibrahimović,Zlatan Ibrahimović,10/3/1981,37,195.58,94.8,ST,Sweden,85,85,14000000.0,15000.0,Right,5,4,5,Normal,21000000.0,Not Selected,0.0,Not Selected,0.0,73,86,83,79,86,79,82,82,73,84,58,59,75,82,39,90,68,61,86,82,84,20,85,79,89,90,28,37,24,ST
M. Mandžukić,Mario Mandžukić,5/21/1986,32,190.5,84.8,"ST,LW",Croatia,85,85,30500000.0,175000.0,Right,3,3,3,Lean,50300000.0,Not Selected,0.0,Not Selected,0.0,72,85,90,75,86,78,64,49,67,79,67,73,67,88,53,83,85,83,87,63,88,66,90,74,76,80,59,64,64,ST
I. Perišić,Ivan Perišić,2/2/1989,30,185.42,79.8,LM,Croatia,85,85,37500000.0,110000.0,Right,3,5,4,Lean,63800000.0,Not Selected,0.0,Not Selected,0.0,83,79,80,81,81,84,73,75,77,85,84,88,78,81,74,84,84,89,78,79,65,69,85,79,76,80,64,52,54,LM
D. Alli,Bamidele Alli,4/11/1996,22,187.96,79.8,CAM,England,85,90,51500000.0,125000.0,Right,3,3,4,Lean,99100000.0,England,82.0,LCM,20.0,69,83,83,85,79,83,75,68,80,86,73,76,76,86,62,78,67,90,71,80,84,74,88,85,74,87,70,70,63,CAM
R. Mahrez,Riyad Mahrez,2/21/1991,28,152.4,67.1,"RW,RM",Algeria,85,85,40500000.0,205000.0,Left,3,4,5,Lean,74900000.0,Not Selected,0.0,Not Selected,0.0,81,78,48,79,72,90,84,78,75,90,88,83,93,77,88,79,61,76,54,80,48,39,80,81,70,85,45,31,18,RW
H. Son,손흥민 孙兴慜,7/8/1992,26,182.88,64.9,"LM,ST",Korea Republic,85,86,46000000.0,140000.0,Right,3,5,4,Lean,88600000.0,Not Selected,0.0,Not Selected,0.0,80,86,65,81,80,88,83,70,65,86,88,87,82,86,76,88,63,86,63,90,60,39,88,81,71,84,48,34,33,LM
A. Lopes,Anthony Lopes,10/1/1990,28,182.88,81.2,GK,Portugal,85,87,31000000.0,78000.0,Left,2,2,1,Normal,61200000.0,Not Selected,0.0,Not Selected,0.0,19,18,16,32,13,15,15,14,31,21,63,64,67,84,62,20,82,36,73,18,43,25,9,48,16,65,13,15,13,GK
Koke,Jorge Resurrección Merodio,1/8/1992,27,175.26,73.9,"LM,CM,RM",Spain,85,85,41500000.0,88000.0,Right,3,4,3,Normal,85100000.0,Spain,85.0,SUB,8.0,86,72,61,89,56,80,85,76,87,85,71,68,74,87,82,84,63,92,77,81,76,72,82,87,59,84,73,73,64,LM
Pepe,Képler Laveran Lima Ferreira,2/26/1983,36,187.96,81.2,CB,Portugal,85,85,9000000.0,18000.0,Right,4,3,2,Lean,18000000.0,FC Porto,81.0,LCB,33.0,46,46,80,70,23,58,44,47,61,62,65,70,63,83,49,63,76,60,86,56,92,85,40,48,57,79,86,85,82,CB
B. Matuidi,Blaise Matuidi,4/9/1987,31,154.94,74.8,"CDM,CM",France,85,85,26000000.0,145000.0,Left,3,2,2,Lean,42900000.0,France,84.0,LM,14.0,75,64,68,83,72,78,65,52,77,79,79,77,83,84,79,78,84,94,76,70,86,86,72,76,56,82,85,84,86,CDM
